distrito,agrupacion,candidato,categoria
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"6 - Laburu, Susana Lidia",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"7 - Atanasof, Alfredo",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"8 - Gambaro, Natalia",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"9 - Klein, Silvio Franco",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"10 - Goñi Campagiorni, Javier Jose",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"11 - Matorras, Claudio",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"12 - Cordoba, Laura Graciela",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"13 - Juara, Gerardo Gabriel",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"14 - Diaz, Miguel Angel",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"15 - Colombo, Mercedes",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"16 - Fontanes, Dora Beatriz",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"17 - Zapata, Ricardo Horacio",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"18 - Granillo Fernandez, Alejandro Jose",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"19 - Barrero, Maria Esther",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"20 - Restuccia, Eduardo Julio",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"21 - Cano, Leandro Ariel",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"22 - Mogni, Maria Graciela",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"23 - Frigerio, Carlos Guido",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"24 - Cichello, Ignacio Ernesto",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"25 - Harrison, Ana Priscilla",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"26 - Murgo, Juan Carlos",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"27 - Prada, Enrique Alejandro",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"28 - Arce Scazzari, Sabrina Soledad",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"29 - Rodriguez Gerino, Ignacio",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"30 - Martinez Chas, Juan Manuel",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"31 - Antonini, Maria Del Carmen",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"32 - Anchoni, Lucas Javier",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"33 - Cuervo, Monica Susana",Diputados Nacionales
Buenos Aires,UNIDOS POR LA LIBERTAD Y EL TRABAJO,"34 - Perez Tamayo, Jorge Alberto",Diputados Nacionales
